2017/6/22,1070,5877,1499.5,3045,3672
2017/6/23,1079,5860,1511,3061,3648
2017/6/26,1081,5838,1511,3065,3665
2017/6/27,1085,5876,1525,3074,3672
2017/6/28,1100.5,5904,1549,3073,3728
2017/6/29,1111.5,5910,1556.5,3084,3799
2017/6/30,1118,5893,1568,3064,3786
2017/7/3,1117,5950,1560,3067,3849
2017/7/4,1128.5,6060,1590,3128,3946
2017/7/5,1148,6154,1605,3150,4092
2017/7/6,1142,6134,1608.5,3102,4069
2017/7/7,1146.5,6157,1629,3087,4086
2017/7/10,1152,6187,1620,3104,4118
2017/7/11,1154.5,6263,1623.5,3104,4144
2017/7/12,1148,6225,1609.5,3103,4167
2017/7/13,1145,6210,1584.5,3091,4124
2017/7/14,1150.5,6258,1608,3134,4141
2017/7/18,1142,6180,1600,3096,4063
2017/7/19,1128.5,6128,1588,3091,4046
2017/7/20,1140,6150,1606.5,3099,4044
2017/7/21,1136,6126,1597.5,3076,4019
2017/7/24,1130,6079,1585.5,3042,4006
2017/7/25,1130,6107,1588,3066,3996
2017/7/26,1141.5,6186,1672,3081,4045
2017/7/27,1155,6250,1663,3080,4044
2017/7/28,1107.5,6228,1661,3077,4026
2017/7/31,1096,6234,1664.5,3108,3994
2017/8/1,1098,6300,1665.5,3127,4016
2017/8/2,1093.5,6300,1639.5,3214,3996
2017/8/3,1091,6225,1642.5,3185,3930
2017/8/4,1085.5,6216,1688.5,3125,3920
2017/8/7,1091,6339,1711.5,3127,3979
2017/8/8,1090.5,6336,1689,3109,3990
2017/8/9,1085,6236,1669,3072,3941
2017/8/10,1088,6275,1664,3078,3951
2017/8/14,1080.5,6180,1630.5,3031,3906
2017/8/15,1100,6275,1650.5,3056,3952
2017/8/16,1109,6194,1645.5,3062,3985
2017/8/17,1103.5,6175,1630,3043,3936
2017/8/18,1098.5,6125,1615.5,3020,3891
2017/8/21,1095,6163,1593.5,3009,3859
2017/8/22,1092,6138,1598,3022,3878
2017/8/23,1090,6173,1592.5,3027,3887
2017/8/24,1082.5,6107,1592,3034,3884
2017/8/25,1082.5,6158,1607,3053,3911
2017/8/28,1081,6126,1597,3045,3828
2017/8/29,1085.5,6090,1588,3040,3833
2017/8/30,1087.5,6151,1594.5,3040,3832
2017/8/31,1093,6183,1619,3081,3856
2017/9/1,1096,6182,1619,3096,3838
2017/9/4,1092,6169,1584.5,3050,3845
2017/9/5,1092.5,6219,1569.5,3057,3838
2017/9/6,1086,6165,1554,3036,3804
2017/9/7,1092.5,6235,1559,3079,3842
2017/9/8,1089.5,6220,1543,3070,3812
2017/9/11,1099.5,6296,1569.5,3119,3864
2017/9/12,1115,6361,1590,3188,3878
2017/9/13,1128.5,6417,1608,3218,3894
2017/9/14,1127,6431,1596.5,3216,3865
2017/9/15,1129,6480,1623.5,3245,3866
2017/9/19,1153,6729,1659,3294,3980
2017/9/20,1153.5,6703,1660.5,3310,4012
2017/9/21,1158,6738,1685.5,3331,4053
2017/9/22,1152,6733,1682.5,3352,4039
2017/9/25,1155.5,6784,1686,3362,4062
2017/9/26,1159,6815,1693,3360,4070
2017/9/27,1128.5,6748,1688,3354,4065
2017/9/28,1115.5,6769,1740,3362,4083
2017/9/29,1114.5,6710,1725,3332,4060
2017/10/2,1084.5,6701,1718,3350,4070
2017/10/3,1102.5,6747,1743.5,3387,4104
2017/10/4,1089.5,6730,1734,3370,4007
2017/10/5,1086,6784,1712.5,3388,3985
2017/10/6,1091.5,6889,1730,3395,4005
2017/10/10,1089,7000,1707,3405,3972
2017/10/11,1085.5,6932,1673,3401,3933
2017/10/12,1089.5,6925,1657.5,3407,3952
2017/10/13,1085,6897,1620.5,3387,3961
2017/10/16,1083,6881,1607.5,3400,3963
2017/10/17,1086,6935,1614,3427,3981
2017/10/18,1087,6986,1607,3432,3987
2017/10/19,1096,6980,1600.5,3455,3984
2017/10/20,1079,6999,1597,3428,3975
2017/10/23,1097,6981,1610.5,3471,3980
2017/10/24,1093,7028,1625.5,3493,4040
2017/10/25,1090,6988,1623.5,3488,4039
2017/10/26,1099.5,7032,1636.5,3508,4075
2017/10/27,1101.5,7073,1637.5,3536,3969
2017/10/30,1108,7077,1636.5,3542,4006
2017/10/31,1098.5,6990,1622,3523,3888
2017/11/1,1109,7038,1633.5,3576,3929
2017/11/2,1111.5,7155,1653,3762,3917
2017/11/6,1108.5,7169,1582,3829,3811
2017/11/7,1111,7183,1585.5,3837,3778
2017/11/8,1118.5,7254,1577.5,3836,3702
2017/11/9,1096,7166,1562,3786,3710
2017/11/10,1093,7108,1558,3768,3661
2017/11/13,1082.5,7132,1552.5,3722,3632
2017/11/15,1072,6960,1538,3620,3594
2017/11/16,1064.5,6962,1517.5,3660,3622
2017/11/17,1070,6917,1522.5,3670,3611
2017/11/20,1067.5,6931,1522,3687,3567
2017/11/21,1071.5,7028,1516,3701,3629
2017/11/22,1071,7079,1512,3715,3670
2017/11/24,1077.5,7023,1502,3688,3646
2017/11/27,1076.5,7026,1494.5,3675,3634
2017/11/28,1076,7038,1474.5,3713,3618
2017/11/29,1084,7052,1488.5,3721,3665
2017/11/30,1088,7044,1503,3744,3669
2017/12/1,1089,7051,1500,3775,3692
2017/12/4,1091,7008,1492,3787,3661
2017/12/5,1091,6997,1500.5,3767,3636
2017/12/6,1084,6878,1473,3723,3609
2017/12/7,1079,6932,1478.5,3756,3645
2017/12/8,1085.5,7017,1480,3773,3665
2017/12/11,1093.5,7047,1500.5,3789,3703
2017/12/12,1100.5,7041,1521,3806,3701
2017/12/13,1104.5,7080,1523.5,3834,3709
2017/12/14,1099.5,7096,1515,3821,3711
